"Command","Workflow"
"add in context as jd3vbmq7n9","Classification"
"add in context as lj92ug","Classification"
"add into context as vyil0k","Classification"
"add into context as xrne","Classification"
"add to context as q6sox0","Classification"
"assert F1Score of 3kufyd is equal to 906.719","Classification"
"assert FalsePositiveExamples equals 343.501","Classification"
"assert FalsePositiveRate is equal to True","Classification"
"assert LeastCertainExamples equals True","Classification"
"assert Precision is equal to 147.039","Classification"
"assert Precision is equal to 147.039 create an classifier over SupportVectorMachine using 346.399 fraction of records generate workflow","Classification"
"assert Probabilities is equal to 984.321","Classification"
"assert Properties equals false","Classification"
"assert Properties equals false","Classification"
"assert that FalseNegativeRate of 725ogh8 is equal to 810.926 percent","Classification"
"assert that MeanDecisionUtility of 5t2j6qw9hi is smaller than 971.395","Classification"
"assert that the F1Score is greater than 459.862","Classification"
"assert that the FalseNegativeRate of ynv6j is equal to false","Classification"
"assert that the LeastCertainExamples of oc61ytfx is equal to 505.404","Classification"
"assert that the MeanDecisionUtility of 5lakd equals 68.3707","Classification"
"assert that the MisclassifiedExamples is larger than 455.97","Classification"
"assert that the MostCertainExamples is greater than 892.608","Classification"
"assert that the Perplexity of ti2 equals 841.265 percent","Classification"
"assert that the Recall is larger than 815.316","Classification"
"assert that TruePositiveExamples of 15xm3ti is equal to 125.935","Classification"
"assert the Accuracy of pufgl equals 205.749 %","Classification"
"assert the CorrectlyClassifiedExamples of q80woea equals 898.921","Classification"
"assert the DecisionUtilities of shn is equal to 15.2878","Classification"
"assert the Error of zg45rt equals True","Classification"
"assert the FalseDiscoveryRate of bm7n is equal to true","Classification"
"assert the LeastCertainExamples of y67m4ubh9v equals 549.342 percent","Classification"
"assert the LogLikelihood equals 377.266","Classification"
"assert the LogLikelihood of b2v is equal to 236.208 percent","Classification"
"assert the LogLikelihood of pomtez is less than true","Classification"
"assert the MeanDecisionUtility of i5byp1cgrk equals 911.222","Classification"
"assert the Precision equals 725.585","Classification"
"assert the Properties is less than 246.034 %","Classification"
"assert the Recall of ylf37tn is equal to 581.753 %","Classification"
"assert TopConfusions is smaller than True","Classification"
"assert TruePositiveExamples of jcq20 is smaller than 468.288","Classification"
"by 318.344 - 516.938","Classification"
"calculate and display accuracies by variable shuffling","Classification"
"calculate and display the shuffling accuracies","Classification"
"calculate and display variable importance","Classification"
"calculate and echo classifier measurements Perplexity together with class rejection rate and probability histogram , FalseNegativeExamples over the available data","Classification"
"calculate and give shuffling accuracies","Classification"
"calculate and give variable importance","Classification"
"calculate and show the variable importance estimates","Classification"
"calculate and show the variable importance estimates","Classification"
"calculate classifier measurement test results","Classification"
"calculate classifier test results over the available data","Classification"
"calculate measurements test results over the available test data","Classification"
"calculate measurement test results","Classification"
"calculate test results with the classification threshold 385.007 of mpc over the available test data","Classification"
"calculate the shuffling accuracies","Classification"
"classifier info","Classification"
"classifier info","Classification"
"classifier info","Classification"
"classifier info","Classification"
"classifier info","Classification"
"classifier info","Classification"
"classifier information","Classification"
"classifier information","Classification"
"classifier information","Classification"
